Country,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
New-zealand,"$48,802","$41,597","$42,865","$43,250","$42,925","$40,058","$38,631","$44,573","$42,977","$39,973","$38,388","$33,677","$28,209","$31,253","$32,480","$26,655","$27,751","$25,420","$21,914","$16,874","$13,883","$13,641","$15,322","$14,738","$17,474","$18,794","$17,400","$15,280","$13,094","$11,793","$12,230","$13,663","$13,312","$13,759","$12,331","$9,428","$7,601","$6,714","$7,598","$7,656","$7,814","$7,467","$6,668","$5,937","$4,951","$4,374","$4,172","$4,611","$4,323","$3,295","$2,773",,"$2,078","$1,885","$2,188","$2,191","$2,151","$2,814","$2,622","$2,449","$2,343","$2,313"
United-kingdom,"$47,334","$41,098","$43,070","$43,647","$40,858","$41,500","$45,405","$47,787","$43,714","$42,687","$42,285","$39,689","$38,952","$47,549","$50,653","$44,654","$42,132","$40,372","$34,487","$30,050","$27,806","$28,223","$28,727","$28,269","$26,743","$24,439","$23,207","$19,709","$18,389","$20,487","$19,901","$19,095","$16,239","$15,987","$13,119","$10,611","$8,652","$8,179","$8,692","$9,146","$9,599","$10,032","$7,805","$5,977","$4,681","$4,138","$4,300","$3,666","$3,426","$3,030","$2,650","$2,348","$2,101","$1,952","$2,059","$1,987","$1,874","$1,748","$1,613","$1,526","$1,472","$1,398"
Macao,"$45,422","$39,403","$86,197","$87,526","$81,019","$73,546","$74,819","$93,023","$89,261","$76,572","$66,891","$52,473","$41,010","$40,811","$36,551","$30,122","$25,183","$22,568","$17,921","$16,425","$15,665","$15,836","$15,650","$16,595","$18,108","$18,244","$18,277","$16,705","$15,304","$13,564","$10,648","$9,442","$8,130","$7,135","$6,353","$5,183","$4,805","$4,797","$4,342","$4,549",,,,,,,,,,,,,,,,,,,,,,
France,"$43,519","$39,037","$40,579","$41,593","$38,781","$37,063","$36,653","$43,069","$42,605","$40,872","$43,848","$40,678","$41,740","$45,519","$41,561","$36,474","$34,773","$33,803","$29,634","$24,293","$22,453","$22,420","$24,682","$24,974","$24,229","$26,872","$26,890","$23,497","$22,380","$23,814","$21,675","$21,794","$17,694","$17,680","$16,302","$13,540","$9,763","$9,420","$9,993","$10,497","$11,105","$12,713","$11,180","$9,265","$7,533","$6,867","$6,691","$5,328","$4,970","$3,855","$3,169","$2,857","$2,752","$2,536","$2,343","$2,186","$2,038","$1,910","$1,745","$1,578","$1,428","$1,335"
Andorra,"$43,048","$37,417","$40,898","$41,793","$38,965","$37,475","$35,771","$41,302","$39,538","$38,685","$43,334","$40,850","$43,504","$48,720","$47,805","$42,675","$40,064","$37,966","$32,273","$25,067","$22,971","$21,854","$19,262","$18,895","$18,356","$19,016","$18,458","$16,235","$16,516","$20,550","$19,534","$18,879","$15,165","$14,305","$12,615","$10,361","$7,776","$7,729","$8,025","$9,610","$10,373","$12,379","$11,818","$9,128","$7,752","$7,151","$7,169","$6,321","$5,342","$4,218","$3,497","$3,239",,,,,,,,,,
Japan,"$39,285","$39,918","$40,458","$39,727","$38,834","$39,375","$34,961","$38,475","$40,899","$49,145","$48,760","$44,968","$41,309","$39,876","$35,779","$35,992","$37,813","$38,299","$35,387","$32,821","$34,406","$39,169","$36,610","$32,424","$35,638","$39,150","$44,198","$39,934","$35,682","$31,415","$28,915","$25,371","$24,823","$25,059","$20,749","$17,113","$11,577","$10,979","$10,421","$9,576","$10,360","$9,463","$9,104","$8,821","$6,335","$5,198","$4,674","$4,354","$3,975","$2,967","$2,272","$2,056","$1,685","$1,451","$1,239","$1,069",$929,$844,$725,$640,$569,$475
Italy,"$35,551","$31,835","$33,673","$34,622","$32,407","$30,961","$30,242","$35,566","$35,560","$35,052","$38,650","$36,036","$37,227","$40,945","$37,871","$33,530","$32,055","$31,317","$27,526","$22,376","$20,501","$20,138","$22,005","$22,318","$21,829","$23,082","$20,665","$19,338","$18,739","$23,243","$21,957","$20,826","$16,387","$15,745","$14,235","$11,315","$7,991","$7,740","$7,833","$7,557","$7,623","$8,457","$6,990","$5,610","$4,604","$4,033","$4,107","$3,621","$3,205","$2,671","$2,306","$2,107","$1,813","$1,652","$1,534","$1,402","$1,304","$1,223","$1,126",$990,$887,$804
South-korea,"$34,758","$31,598","$31,902","$33,437","$31,617","$29,289","$28,732","$29,250","$27,183","$25,467","$25,096","$23,087","$19,144","$21,350","$24,086","$21,743","$19,403","$16,496","$14,673","$13,165","$11,561","$12,257","$10,672","$8,282","$12,398","$13,403","$12,565","$10,385","$8,885","$8,127","$7,637","$6,610","$5,817","$4,749","$3,555","$2,835","$2,482","$2,413","$2,199","$1,993","$1,883","$1,715","$1,784","$1,406","$1,056",$834,$617,$563,$407,$324,$301,$279,$243,$198,$161,$133,$109,$124,$146,$106,$94,$158
Malta,"$33,257","$28,946","$31,186","$31,573","$28,857","$25,625","$24,922","$26,754","$24,771","$22,528","$23,156","$21,799","$21,083","$22,205","$19,486","$16,724","$15,888","$15,197","$13,669","$11,290","$10,402","$10,432","$10,634","$10,409","$9,910","$10,063","$9,857","$8,001","$7,296","$8,220","$7,558","$7,192","$6,041","$5,814","$5,084","$4,195","$3,322","$3,333","$3,527","$3,788","$3,898","$3,948","$3,196","$2,559","$2,038","$1,727","$1,560","$1,245","$1,144",$976,$874,$828,,,,,,,,,,
Brunei,"$31,723","$27,443","$31,086","$31,628","$28,572","$27,158","$31,164","$41,726","$44,741","$47,740","$47,056","$35,271","$27,956","$37,935","$32,663","$30,980","$26,105","$21,902","$18,561","$16,850","$16,472","$18,013","$14,101","$12,694","$16,660","$16,793","$15,933","$14,121","$14,576","$15,275","$13,905","$13,608","$11,873","$11,009","$11,595","$10,214","$15,700","$17,337","$18,129","$20,694","$21,828","$25,422","$14,946","$10,715","$9,917","$8,462","$7,228","$6,923","$2,916","$1,907","$1,456","$1,383","$1,304","$1,364","$1,236","$1,238","$1,114",,,,,
