Country,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
Suriname,"$4,836","$4,917","$6,854","$6,938","$6,296","$5,873","$9,168","$9,472","$9,402","$9,201","$8,263","$8,256","$7,408","$6,832","$5,745","$5,198","$3,591","$3,006","$2,611","$2,268","$1,751","$2,012","$1,904","$2,416","$2,040","$1,922","$1,565","$1,392","$1,002",$962,"$1,085",$959,"$1,366","$2,986","$2,572","$2,382","$2,368","$2,369","$2,439","$2,535","$2,468","$2,211","$2,181","$2,054","$1,794","$1,412","$1,296","$1,133",$930,$848,$815,$747,$714,$677,$635,$563,$469,$420,$404,$382,$364,$346
Ukraine,"$4,836","$3,752","$3,661","$3,097","$2,638","$2,188","$2,125","$3,105","$4,188","$4,005","$3,705","$3,078","$2,639","$4,067","$3,198","$2,391","$1,894","$1,417","$1,088",$912,$808,$658,$636,$835,$991,$873,$936,"$1,012","$1,257","$1,418","$1,487","$1,569","$1,598","$1,450","$1,249",,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,"$4,729","$4,157","$5,028","$5,588","$5,367","$4,547","$4,897","$5,470","$5,392","$5,942","$5,807","$5,395","$4,295","$4,212","$4,405","$4,059","$3,740","$3,464","$2,622","$1,809","$1,951","$2,186","$2,193","$2,237","$2,447","$2,398","$2,444","$2,303","$2,091","$2,261","$2,030","$1,947","$1,829","$1,867","$1,787","$1,459","$1,342","$1,679","$2,030","$1,917","$2,081","$2,290",,,,,,,,,,,,,,,,,,,,
Armenia,"$4,670","$4,266","$4,605","$4,221","$3,915","$3,592","$3,607","$3,986","$3,838","$3,682","$3,526","$3,218","$2,994","$4,011","$3,139","$2,158","$1,644","$1,192",$930,$783,$694,$623,$597,$609,$523,$504,$456,$401,$357,$370,$591,$638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,"$4,587","$4,665","$5,369","$5,360","$5,070","$4,844","$4,908","$4,834","$4,990","$5,210","$5,111","$4,704","$4,335","$4,928","$4,624","$4,331","$4,104","$3,734","$3,481","$3,609","$3,438","$3,392","$3,376","$3,368","$3,251","$2,890","$2,596","$2,173","$2,190","$1,437","$1,683","$1,898","$1,833","$1,602","$1,384","$1,168",$899,"$1,029","$1,593","$1,474","$1,356","$1,239","$1,137","$1,256","$1,562","$1,443","$1,410","$1,189",$969,$969,$809,$749,$644,$594,$637,$616,$553,$519,$485,$464,$453,$429
Mongolia,"$4,535","$4,061","$4,405","$4,157","$3,687","$3,658","$3,875","$4,159","$4,366","$4,352","$3,758","$2,643","$1,714","$2,137","$1,633","$1,334",$999,$798,$646,$572,$524,$474,$445,$477,$506,$581,$632,$406,$340,$587,"$1,073","$1,172","$1,671","$1,533","$1,486","$1,465","$1,138","$1,122","$1,495","$1,436","$1,333",,,,,,,,,,,,,,,,,,,,,
Belize,"$4,420","$3,988","$4,983","$4,927","$4,910","$4,878","$4,805","$4,744","$4,576","$4,531","$4,442","$4,304","$4,197","$4,408","$4,291","$4,157","$3,916","$3,825","$3,677","$3,553","$3,417","$3,364","$3,066","$2,993","$2,954","$3,003","$2,998","$2,882","$2,835","$2,669","$2,327","$2,197","$2,012","$1,788","$1,612","$1,366","$1,289","$1,337","$1,233","$1,203","$1,329","$1,373","$1,074",$981,$859,$717,$886,$786,$606,$520,$474,$436,$397,$387,$420,$406,$378,$351,$337,$327,$316,$305
El-salvador,"$4,409","$3,799","$4,168","$4,053","$3,910","$3,806","$3,706","$3,589","$3,510","$3,428","$3,266","$2,983","$2,858","$2,933","$2,786","$2,632","$2,429","$2,278","$2,209","$2,124","$2,072","$2,002","$1,931","$1,886","$1,779","$1,685","$1,585","$1,381","$1,217","$1,073",$983,$914,$841,$816,$781,$754,$770,$752,$730,$718,$737,$778,$768,$707,$678,$548,$453,$410,$364,$327,$315,$308,$293,$290,$288,$282,$274,,,,,
Jordan,"$4,406","$4,283","$4,405","$4,308","$4,232","$4,175","$4,164","$4,131","$4,044","$3,910","$3,853","$3,737","$3,560","$3,456","$2,735","$2,513","$2,183","$2,045","$1,876","$1,802","$1,720","$1,652","$1,620","$1,600","$1,495","$1,464","$1,466","$1,414","$1,334","$1,335","$1,155","$1,167","$1,242","$1,928","$2,157","$2,123","$1,722","$1,784","$1,842","$1,826","$1,779","$1,644","$1,421","$1,163",$962,$805,$660,$596,$484,$419,$375,$372,$432,$374,$458,$519,$511,,,,,
Indonesia,"$4,292","$3,871","$4,135","$3,894","$3,838","$3,563","$3,332","$3,492","$3,624","$3,694","$3,643","$3,122","$2,261","$2,167","$1,860","$1,590","$1,263","$1,150","$1,066",$900,$748,$780,$671,$464,"$1,064","$1,137","$1,026",$912,$828,$682,$632,$585,$530,$482,$442,$475,$517,$525,$513,$584,$567,$492,$357,$366,$334,$278,$233,$202,$131,$91,$79,$80,$75,$65,$54,,,,,,,
Eswatini,"$4,215","$3,435","$3,890","$4,107","$3,914","$3,426","$3,680","$4,039","$4,230","$4,528","$4,497","$4,168","$3,386","$3,137","$3,327","$3,177","$3,084","$2,699","$2,149","$1,405","$1,522","$1,729","$1,557","$1,609","$1,782","$1,695","$1,833","$1,564","$1,529","$1,482","$1,368","$1,355",$873,$894,$780,$621,$515,$732,$852,$854,$938,$922,$725,$620,$571,$529,$577,$545,$472,$321,$307,$260,$252,$196,$189,$200,$188,$178,$152,$131,$125,$104
Marshall-islands,"$4,171","$4,130","$4,073","$3,794","$3,673","$3,491","$3,200","$3,185","$3,247","$3,182","$3,046","$2,846","$2,662","$2,704","$2,647","$2,538","$2,471","$2,431","$2,458","$2,516","$2,389","$2,273","$2,268","$2,230","$2,194","$2,194","$2,383","$2,152","$1,996","$1,849","$1,705","$1,660","$1,589","$1,603","$1,494","$1,392","$1,145","$1,235","$1,197","$1,048",$973,,,,,,,,,,,,,,,,,,,,,
Samoa,"$3,939","$4,068","$4,323","$4,188","$4,259","$4,110","$4,074","$3,937","$4,038","$4,022","$3,933","$3,566","$3,403","$3,499","$3,151","$2,764","$2,653","$2,283","$1,879","$1,597","$1,518","$1,484","$1,471","$1,559","$1,659","$1,460","$1,322","$1,311",$797,$799,$766,$773,$759,$824,$694,$629,$597,$686,$706,$770,,,,,,,,,,,,,,,,,,,,,,
Tunisia,"$3,924","$3,597","$3,572","$3,691","$3,688","$3,924","$4,095","$4,544","$4,445","$4,362","$4,480","$4,345","$4,128","$4,308","$3,776","$3,370","$3,193","$3,111","$2,760","$2,344","$2,253","$2,212","$2,387","$2,293","$2,208","$2,114","$1,976","$1,743","$1,661","$1,799","$1,551","$1,491","$1,253","$1,281","$1,259","$1,200","$1,147","$1,157","$1,204","$1,207","$1,287","$1,372","$1,157",$985,$863,$779,$765,$641,$505,$423,$326,$284,$260,$251,$229,$224,$218,,,,,
Egypt,"$3,876","$3,569","$3,019","$2,537","$2,444","$3,520","$3,563","$3,380","$3,263","$3,230","$2,792","$2,646","$2,331","$2,045","$1,667","$1,397","$1,186","$1,062","$1,102","$1,191","$1,378","$1,450","$1,344","$1,281","$1,209","$1,063",$965,$849,$778,$713,$651,$766,$726,$655,$778,$815,$793,$708,$663,$607,$499,$500,$426,$359,$357,$338,$302,$245,$274,$258,$244,$233,$194,$180,$175,$169,$163,,,,,
Sri-lanka,"$3,815","$3,694","$3,848","$4,059","$4,077","$3,886","$3,844","$3,819","$3,610","$3,351","$3,201","$2,800","$2,090","$2,037","$1,630","$1,436","$1,249","$1,066",$982,$867,$833,$870,$839,$851,$817,$757,$714,$648,$577,$547,$513,$464,$408,$413,$401,$390,$370,$379,$329,$308,$289,$268,$228,$188,$288,$256,$276,$265,$217,$196,$186,$184,$161,$151,$160,$154,$153,$121,$117,$139,$143,$143
Algeria,"$3,765","$3,307","$3,990","$4,142","$4,110","$3,946","$4,178","$5,493","$5,500","$5,592","$5,456","$4,481","$3,883","$4,924","$3,951","$3,479","$3,113","$2,610","$2,103","$1,782","$1,741","$1,765","$1,588","$1,596","$1,620","$1,604","$1,452","$1,508","$1,807","$1,776","$1,732","$2,409","$2,216","$2,417","$2,808","$2,757","$2,583","$2,467","$2,313","$2,210","$2,237","$2,203","$1,783","$1,456","$1,193","$1,038",$937,$818,$554,$443,$341,$336,$303,$282,$254,$236,$250,$238,$227,$172,$215,$246
Vietnam,"$3,694","$3,526","$3,425","$3,231","$2,974","$2,746","$2,582","$2,545","$2,355","$2,178","$1,942","$1,673","$1,217","$1,149",$906,$784,$687,$547,$481,$430,$405,$390,$363,$348,$348,$324,$277,$221,$182,$139,$138,$95,$95,$390,$575,$423,$231,,,,,,,,,,,,,,,,,,,,,,,,,
West-bank-and-gaza,"$3,664","$3,234","$3,657","$3,562","$3,620","$3,528","$3,272","$3,352","$3,315","$3,067","$2,881","$2,557","$2,192","$2,035","$1,664","$1,570","$1,544","$1,422","$1,258","$1,156","$1,336","$1,476","$1,499","$1,465","$1,389","$1,317","$1,327","$1,202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,"$3,549","$3,301","$3,485","$3,252","$3,123","$3,074","$3,001","$2,960","$2,871","$2,694","$2,451","$2,217","$1,904","$1,998","$1,745","$1,452","$1,244","$1,121","$1,048","$1,036",$991,"$1,073","$1,122",$998,"$1,289","$1,326","$1,213","$1,073",$932,$929,$816,$816,$804,$734,$660,$610,$644,$676,$734,$844,$832,$778,$677,$575,$511,$457,$409,$389,$292,$239,$227,$211,$275,$255,$235,$226,$211,$199,$190,$176,$301,$286
Morocco,"$3,497","$3,059","$3,235","$3,227","$3,035","$2,897","$2,875","$3,172","$3,122","$2,913","$3,047","$2,840","$2,867","$2,890","$2,499","$2,196","$2,018","$1,953","$1,725","$1,416","$1,339","$1,335","$1,448","$1,472","$1,397","$1,561","$1,432","$1,327","$1,199","$1,299","$1,267","$1,206","$1,071","$1,066",$921,$840,$661,$668,$750,$836,$862,"$1,079",$810,$690,$590,$524,$503,$439,$365,$303,$265,$246,$232,$213,$203,$196,$206,$201,$197,$181,$159,$165
Micronesia,"$3,477","$3,543","$3,624","$3,568","$3,290","$3,015","$2,907","$2,972","$2,995","$3,131","$3,009","$2,885","$2,722","$2,541","$2,459","$2,406","$2,358","$2,253","$2,296","$2,266","$2,248","$2,172","$2,043","$2,023","$1,905","$2,018","$2,060","$1,910","$1,910","$1,757","$1,683","$1,528","$1,437","$1,356","$1,297","$1,277",,,"$1,321",,,,,,,,,,,,,,,,,,,,,,,
Cabo-verde,"$3,446","$3,064","$3,604","$3,616","$3,293","$3,131","$3,043","$3,589","$3,616","$3,447","$3,740","$3,378","$3,517","$3,721","$3,187","$2,361","$2,099","$2,024","$1,809","$1,402","$1,292","$1,259","$1,409","$1,265","$1,214","$1,269","$1,261","$1,080","$1,340","$1,004",$924,$908,$808,$811,$733,$602,$442,$431,$461,$478,$483,$501,,,,,,,,,,,,,,,,,,,,
Bolivia,"$3,415","$3,138","$3,552","$3,549","$3,351","$3,077","$3,036","$3,082","$2,908","$2,610","$2,346","$1,955","$1,754","$1,715","$1,373","$1,219","$1,034",$967,$908,$904,$949,$998,"$1,003","$1,049",$999,$951,$881,$801,$784,$788,$762,$709,$702,$699,$675,$628,$870,"$1,019",$914,$962,"$1,034",$813,$809,$703,$617,$534,$481,$429,$264,$269,$239,$227,$212,$200,$180,$162,$150,$136,$123,$117,$109,$102
Djibouti,"$3,364","$3,220","$3,173","$3,038","$2,926","$2,804","$2,653","$2,464","$2,313","$1,559","$1,452","$1,343","$1,267","$1,224","$1,053",$968,$905,$863,$819,$791,$781,$768,$766,$756,$761,$768,$790,$790,$754,$777,$762,$766,$726,$748,$761,,$801,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,"$3,127","$2,920","$3,123","$3,125","$3,083","$2,806","$2,696","$2,927","$2,955","$2,997","$3,174","$2,839","$2,574","$2,629","$2,353","$2,050","$1,887","$1,788","$1,581","$1,354","$1,363","$1,471","$1,479","$1,474","$1,559","$1,522","$1,483","$1,424","$1,255","$1,347","$1,336","$1,152","$1,079","$1,137","$1,025",$951,"$1,014","$1,137",$945,$943,$960,"$1,048","$1,060",,,,,,,,,,,,,,,,,,,
Papua-new-guinea,"$2,916","$2,757","$2,820","$2,801","$2,695","$2,510","$2,679","$2,921","$2,730","$2,791","$2,407","$1,949","$1,626","$1,673","$1,402","$1,257",$749,$618,$568,$492,$516,$602,$608,$679,$906,$970,$894,"$1,086","$1,005",$905,$801,$698,$787,$831,$732,$633,$594,$642,$662,$629,$681,$713,$659,$575,$497,$470,$432,$479,$435,$294,$252,$232,$203,$183,$170,$154,$138,$125,$116,$112,$107,$102
Honduras,"$2,831","$2,406","$2,574","$2,510","$2,454","$2,343","$2,302","$2,206","$2,103","$2,144","$2,088","$1,904","$1,790","$1,739","$1,583","$1,430","$1,308","$1,218","$1,158","$1,134","$1,133","$1,093","$1,003","$1,023",$949,$888,$937,$837,$913,$943,$912,$993,"$1,128","$1,262","$1,363","$1,287","$1,233","$1,183","$1,110","$1,091","$1,066","$1,079",$994,$896,$498,$415,$356,$338,$307,$279,$261,$266,$253,$253,$241,$228,$217,$200,$185,$180,$170,$165
Lebanon,"$2,670","$3,802","$7,527","$8,004","$7,776","$7,618","$7,643","$7,682","$7,928","$7,949","$7,675","$7,762","$7,355","$6,111","$5,208","$4,627","$4,575","$4,631","$4,576","$4,579","$4,422","$4,492","$4,640","$4,670","$4,306","$3,792","$3,321","$2,820","$2,447","$1,900","$1,605","$1,013",$997,"$1,234",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao-pdr,"$2,551","$2,609","$2,614","$2,569","$2,455","$2,324","$2,140","$2,000","$1,832","$1,582","$1,378","$1,141",$949,$901,$710,$591,$476,$418,$363,$320,$327,$325,$278,$249,$346,$378,$364,$326,$287,$251,$235,$203,$173,$149,$278,$468,$642,$490,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,"$2,503","$2,270","$2,154","$1,991","$1,840","$1,679","$1,248","$1,119",$982,$883,$862,$781,$702,$635,$558,$510,$499,$475,$446,$413,$415,$418,$410,$407,$401,$395,$329,$300,$301,$294,$293,$306,$286,$271,$254,$234,$245,$214,$204,$221,$248,$228,$201,$176,$131,$141,$278,$182,$120,$94,$134,$140,$135,$123,$123,$113,$107,$100,$102,$100,$98,$89
Sao-tome-and-principe,"$2,449","$2,158","$1,988","$1,954","$1,814","$1,700","$1,585","$1,770","$1,565","$1,331","$1,255","$1,090","$1,068","$1,099",$897,$883,$867,$745,$679,$578,$525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,"$2,445","$2,254","$2,247","$2,261","$2,074","$1,972","$1,774","$2,012","$2,361","$1,588","$1,549","$1,299","$1,078","$1,217","$1,081",$913,$493,$418,$368,$305,$269,$258,$410,$408,$385,$397,$380,$329,$370,$410,$434,$399,$366,$373,$374,$435,$352,$356,$337,$346,$372,$402,$372,$346,$307,$271,$281,$297,$260,$229,$269,$254,$230,$200,$215,$268,$265,$230,$211,$195,$190,$183
Solomon-islands,"$2,337","$2,251","$2,344","$2,412","$2,333","$2,225","$2,167","$2,275","$2,249","$2,142","$1,939","$1,604","$1,429","$1,389","$1,260","$1,120","$1,015",$867,$789,$796,$966,"$1,017","$1,215","$1,171","$1,386","$1,382","$1,307","$1,153",$886,$815,$709,$689,$570,$598,$541,$529,$611,$691,$712,$783,$813,$793,$679,$516,$448,$414,$386,$454,$308,$235,$301,,$185,$187,$173,,,,,,,
India,"$2,277","$1,933","$2,072","$1,998","$1,981","$1,733","$1,606","$1,574","$1,450","$1,444","$1,458","$1,358","$1,102",$999,"$1,028",$807,$715,$628,$547,$471,$452,$443,$442,$413,$415,$400,$374,$346,$301,$317,$303,$368,$346,$354,$340,$310,$296,$277,$291,$274,$270,$267,$224,$206,$186,$161,$158,$163,$144,$123,$119,$112,$108,$100,$96,$90,$119,$116,$101,$90,$85,$82
Republic-of-congo,"$2,214","$1,900","$2,370","$2,607","$2,171","$2,052","$2,449","$3,782","$3,885","$3,923","$3,562","$3,077","$2,346","$2,904","$2,266","$2,155","$1,836","$1,327","$1,028",$917,$869,"$1,032",$775,$660,$810,$912,$782,$672,"$1,049","$1,178","$1,125","$1,188","$1,042",$992,"$1,058",$875,"$1,052","$1,098","$1,081","$1,146","$1,089",$959,$694,$524,$470,$477,$499,$392,$374,$292,$236,$207,$206,$200,$195,$186,$172,$165,$157,$156,$145,$129
Angola,"$2,138","$1,631","$2,178","$2,525","$2,313","$1,728","$3,128","$5,094","$5,128","$4,978","$4,518","$3,498","$3,123","$4,081","$3,122","$2,600","$1,902","$1,256",$983,$872,$527,$557,$388,$424,$514,$523,$397,$329,$441,$656,$866,$948,$891,$792,$756,$685,$758,$638,$623,$620,$642,$711,,,,,,,,,,,,,,,,,,,,
Nicaragua,"$2,091","$1,900","$1,924","$2,015","$2,159","$2,108","$2,050","$1,934","$1,812","$1,760","$1,656","$1,504","$1,444","$1,499","$1,328","$1,227","$1,162","$1,080","$1,006","$1,001","$1,035","$1,007",$973,$944,$909,$909,$890,$847,$394,$411,$349,$242,$248,$659,$985,$755,$719,$852,$773,$713,$729,$670,$482,$696,$750,$638,$567,$559,$414,$344,$333,$323,$320,$307,$299,$285,$274,$170,$151,$141,$131,$126
Nigeria,"$2,085","$2,097","$2,230","$2,028","$1,969","$2,176","$2,687","$3,099","$2,962","$2,724","$2,488","$2,280","$1,912","$2,259","$1,883","$1,656","$1,268","$1,008",$795,$742,$590,$568,$498,$469,$480,$462,$408,$321,$270,$477,$503,$568,$474,$549,$598,$639,$883,$902,"$1,223","$1,844","$2,180",$874,$662,$527,$536,$557,$438,$403,$252,$209,$160,$224,$121,$97,$99,$124,$117,$113,$108,$104,$97,$93
Kenya,"$2,007","$1,872","$1,909","$1,794","$1,633","$1,525","$1,465","$1,462","$1,355","$1,272","$1,085","$1,080","$1,035",$902,$826,$686,$512,$452,$430,$390,$395,$397,$415,$466,$446,$421,$326,$265,$220,$324,$332,$361,$361,$377,$373,$351,$309,$323,$324,$363,$402,$443,$395,$349,$307,$246,$240,$227,$199,$173,$152,$142,$134,$128,$121,$118,$105,$108,$104,$100,$95,$97
Uzbekistan,"$1,983","$1,750","$1,784","$1,597","$1,917","$2,705","$2,754","$2,628","$2,420","$2,268","$2,051","$1,742","$1,213","$1,082",$830,$654,$547,$465,$396,$383,$457,$558,$702,$623,$623,$601,$586,$576,$597,$603,$653,$651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,"$1,815","$1,272","$1,313","$1,479","$1,369","$1,290","$1,387","$1,435","$1,433","$1,337","$1,288","$1,192","$1,184","$1,087","$1,003",$805,$781,$667,$542,$692,$736,$805,$499,$456,$416,$369,$363,$285,$252,$308,$484,$440,$397,$387,$309,$358,$317,$293,$268,$249,$256,$245,$196,$180,$179,$169,$134,$113,$95,$77,$76,$71,$85,$82,$83,$85,$83,$78,$72,$70,$69,$71
Zimbabwe,"$1,737","$1,215","$1,317","$1,255","$1,235","$1,465","$1,445","$1,435","$1,430","$1,305","$1,094",$948,$772,$357,$432,$448,$477,$483,$478,$531,$568,$563,$580,$545,$732,$741,$623,$612,$592,$619,$809,$842,$816,$793,$708,$676,$635,$742,$941,"$1,073","$1,044",$901,$723,$628,$650,$664,$695,$654,$563,$472,$398,$356,$342,$299,$292,$277,$293,$282,$277,$277,$281,$279
Mauritania,"$1,723","$1,702","$1,743","$1,670","$1,588","$1,537","$1,524","$1,677","$1,892","$1,815","$1,880","$1,611","$1,389","$1,580","$1,357","$1,260",$971,$804,$718,$640,$646,$677,$775,$814,$851,$899,$904,$862,$840,"$1,010","$1,022",$741,$732,$733,$715,$649,$567,$621,$693,$679,$697,$680,$636,$554,$566,$566,$529,$475,$393,$322,$284,$270,$265,$288,$270,$262,$259,$235,$181,$182,$182,
Cameroon,"$1,662","$1,537","$1,533","$1,585","$1,469","$1,413","$1,383","$1,604","$1,528","$1,404","$1,465","$1,352","$1,411","$1,440","$1,278","$1,147","$1,100","$1,091",$951,$759,$688,$681,$765,$767,$752,$794,$799,$673,"$1,258",$966,$975,"$1,045",$964,"$1,105","$1,216","$1,141",$848,$749,$727,$721,$744,$774,$708,$574,$430,$378,$383,$298,$270,$218,$185,$177,$173,$169,$155,$144,$141,$138,$130,$129,$124,$119
Senegal,"$1,606","$1,463","$1,436","$1,458","$1,362","$1,270","$1,219","$1,397","$1,373","$1,318","$1,367","$1,272","$1,309","$1,404","$1,197","$1,028",$993,$932,$832,$681,$648,$614,$689,$696,$662,$736,$728,$595,$896,$972,$935,$982,$872,$906,$944,$808,$590,$555,$586,$679,$714,$808,$751,$618,$567,$567,$574,$438,$400,$358,$305,$305,$301,$326,$320,$329,$329,$332,$322,$321,$321,$313
Cambodia,"$1,591","$1,548","$1,643","$1,512","$1,385","$1,270","$1,163","$1,093","$1,013",$951,$882,$786,$738,$746,$632,$540,$474,$409,$362,$339,$321,$301,$296,$269,$305,$319,$323,$271,$254,,,,,,,,,,,,,,,,,,,$78,$94,$69,$136,$103,$142,$157,$144,$139,$134,$124,$118,$109,$109,$111
Pakistan,"$1,538","$1,360","$1,482","$1,678","$1,632","$1,540","$1,357","$1,251","$1,209","$1,198","$1,165",$987,$958,$991,$908,$837,$749,$688,$599,$534,$544,$576,$454,$461,$476,$497,$490,$434,$442,$429,$412,$372,$384,$379,$339,$335,$338,$349,$333,$368,$348,$303,$261,$243,$213,$191,$168,$137,$101,$153,$179,$172,$153,$146,$139,$126,$116,$105,$96,$91,$89,$83
Comoros,"$1,495","$1,407","$1,404","$1,428","$1,324","$1,273","$1,243","$1,514","$1,505","$1,403","$1,448","$1,316","$1,345","$1,393","$1,240","$1,115","$1,069","$1,061",$938,$748,$681,$647,$723,$718,$726,$811,$838,$690,"$1,008","$1,048","$1,001","$1,044",$854,$919,$896,$763,$554,$535,$570,$563,$618,$689,,,,,,,,,,,,,,,,,,,,
Timor-leste,"$1,458","$1,443","$1,584","$1,249","$1,299","$1,354","$1,333","$1,232","$1,210","$1,024",$936,$806,$677,$614,$524,$446,$465,$454,$518,$509,$530,$415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,"$1,428","$1,291","$1,220","$1,242","$1,137","$1,087","$1,077","$1,291","$1,251","$1,145","$1,130","$1,037","$1,089","$1,125",$966,$856,$823,$799,$711,$575,$518,$513,$552,$379,$361,$387,$367,$280,$412,$318,$386,$394,$312,$347,$345,$303,$244,$253,$271,$323,$338,$378,$328,$264,$218,$209,$207,$174,$162,$135,$113,$115,$116,$117,$112,$113,$110,$104,$100,$94,$96,$93
Kyrgyz-republic,"$1,276","$1,183","$1,374","$1,308","$1,243","$1,121","$1,121","$1,280","$1,282","$1,178","$1,124",$880,$871,$966,$722,$543,$477,$433,$381,$322,$308,$280,$258,$345,$376,$395,$364,$372,$449,$513,$576,$609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,"$1,223","$1,147","$1,195","$1,179","$1,048",$900,$902,$845,$823,$804,$798,$592,$478,$470,$391,$347,$316,$286,$252,$245,$247,$229,$214,$211,$218,$205,$204,$193,$179,$171,$202,$192,$191,$193,$168,$165,$155,$157,$152,$152,$148,$130,$126,$112,$99,$106,$117,$93,$76,$81,$72,$72,$67,$67,$74,$81,$67,$46,$47,$55,$52,$50
Myanmar,"$1,187","$1,451","$1,271","$1,250","$1,151","$1,137","$1,197","$1,210","$1,168","$1,134","$1,061",$747,$586,$461,$314,$241,$216,$193,$161,$128,$132,$147,$122,$101,$125,$130,$111,$88,$66,$52,$51,$49,$41,$35,$37,$41,$35,$36,$39,$36,$30,$30,$27,$28,$31,$37,$37,$33,$23,$22,$20,$21,$21,$20,$13,$13,$17,$20,$28,$27,$26,
Guinea,"$1,174","$1,079","$1,053",$955,$856,$732,$769,$787,$769,$717,$651,$672,$674,$715,$660,$453,$322,$407,$394,$344,$336,$363,$430,$456,$494,$518,$508,$478,$475,$489,$461,$420,$394,$399,$352,$354,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,"$1,166","$1,051","$1,153","$1,192","$1,103","$1,019","$1,146","$1,195","$1,167","$1,230","$1,287","$1,120",$875,$889,$847,$905,$843,$753,$574,$382,$406,$436,$452,$465,$507,$489,$528,$472,$459,$466,$404,$350,$297,$288,$252,$204,$176,$224,$266,$246,$315,$322,$223,$211,$157,$124,$129,$133,$110,$75,$73,$67,$66,$62,$62,$60,$60,$57,$53,$48,$42,$41
Tanzania,"$1,136","$1,076","$1,086","$1,043","$1,005",$967,$948,"$1,030",$970,$868,$781,$743,$695,$687,$553,$485,$493,$459,$431,$412,$407,$411,$400,$396,$253,$220,$182,$161,$157,$176,$196,$174,$186,$222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,"$1,121",$985,"$1,305","$1,516","$1,535","$1,281","$1,338","$1,762","$1,878","$1,763","$1,673","$1,489","$1,160","$1,394","$1,124","$1,048",$703,$539,$435,$382,$383,$346,$336,$359,$448,$385,$419,$412,$378,$376,$410,$409,$511,$489,$308,$233,$330,$409,$496,$638,$640,$654,$588,$514,$470,$537,$530,$653,$491,$428,$391,$437,$486,$410,$360,$343,$303,$242,$214,$213,$220,$232
Togo,$992,$915,$893,$902,$831,$803,$571,$641,$621,$572,$587,$534,$541,$546,$450,$408,$407,$413,$397,$328,$293,$303,$330,$343,$334,$337,$310,$238,$306,$429,$415,$431,$368,$385,$360,$315,$234,$229,$253,$282,$342,$418,$337,$320,$309,$251,$256,$238,$176,$149,$131,$120,$132,$124,$125,$122,$110,$100,$88,$82,$79,$77
Ethiopia,$944,$936,$856,$772,$769,$717,$641,$567,$500,$467,$354,$342,$381,$326,$244,$195,$162,$136,$119,$112,$121,$124,$120,$125,$142,$145,$134,$126,$166,$204,$271,$254,$248,$244,$243,$235,$233,$206,$225,$208,$204,,,,,,,,,,,,,,,,,,,,,
Burkina-faso,$918,$858,$796,$805,$735,$688,$653,$793,$787,$758,$751,$648,$624,$643,$535,$473,$458,$418,$375,$295,$267,$256,$300,$256,$229,$249,$236,$193,$335,$361,$346,$352,$305,$313,$291,$257,$201,$194,$218,$245,$254,$283,$262,$226,$177,$156,$153,$124,$114,$99,$84,$82,$87,$85,$84,$83,$82,$80,$78,$77,$72,$68
Mali,$918,$862,$879,$895,$830,$781,$751,$848,$805,$779,$838,$710,$702,$697,$597,$523,$489,$441,$393,$336,$308,$271,$323,$282,$267,$283,$282,$223,$310,$320,$315,$317,$263,$265,$259,$233,$178,$160,$172,$181,$213,$248,$229,$179,$156,$142,$128,$85,$90,$79,$65,$60,$58,$59,$48,,,,,,,
Tajikistan,$897,$853,$891,$853,$849,$807,$978,"$1,104","$1,048",$969,$847,$750,$676,$716,$527,$409,$341,$312,$238,$190,$171,$138,$178,$219,$155,$178,$214,$267,$294,$392,$250,$498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,$858,$822,$799,$771,$747,$737,$847,$884,$810,$790,$833,$823,$800,$475,$404,$349,$334,$296,$254,$246,$239,$262,$261,$295,$290,$287,$282,$202,$168,$154,$185,$248,$315,$402,$402,$260,$242,$257,$164,$165,$104,$100,$177,$207,$258,$222,$220,$201,$167,$150,$147,$134,$128,$117,$113,$112,$111,$76,$69,$62,$63,$63
